Year,GDP-UK billions,Population-UK million,Public Net Debt-total percent GDP,,Interest-total percent GDP,,Balance-total percent GDP,Total Spending-total percent GDP,,Pensions-total percent GDP,
1982,281.024,56.465,44.55,a,5.08,a,5.05,45.56,a,5.05,a
1983,307.207,56.572,43.13,a,4.52,a,5.02,43.2,a,5.02,a
1984,329.913,56.68,43.59,a,4.36,a,4.86,42.59,a,4.86,a
1985,361.758,56.788,43.45,a,4.42,a,4.73,41.71,a,4.73,a
1986,389.149,56.896,41.81,a,4.57,a,4.85,40.76,a,4.85,a
1987,428.665,57.004,39.14,a,4.11,a,4.68,38.4,a,4.68,a
1988,478.51,57.112,34.98,a,3.76,a,4.34,36.28,a,4.34,a
1989,525.274,57.221,29.3,a,3.52,a,4.22,34.25,a,4.22,a
1990,570.283,57.33,26.69,a,3.3,a,4.2,35.23,a,4.2,a
1991,598.664,57.439,25.27,a,3.11,a,4.5,36.45,a,4.5,a
1992,622.08,57.604,26.7,a,2.7,a,4.52,37.97,a,4.52,a
1993,654.196,57.77,30.97,a,3.25,a,5.28,39.7,a,5.28,a
1994,692.987,57.936,36.05,a,3,a,5.96,39.18,a,5.96,a
1995,733.266,58.103,39.55,a,3.68,a,5.64,39.42,a,5.64,a
1996,781.726,58.27,41.2,a,3.85,a,5.81,38.93,a,5.81,a
1997,830.013,58.438,41.93,a,3.8,a,5.96,37.15,a,5.96,a
1998,879.152,58.606,40.14,a,3.37,a,5.92,36.22,a,5.92,a
1999,928.871,58.775,37.85,a,3.15,a,6.66,35.81,a,6.66,a
2000,976.282,58.944,35.38,a,2.59,a,6.73,34.91,a,6.73,a
2001,1021.625,59.114,30.58,a,2.58,a,7.18,35.83,a,7.18,a
2002,1075.368,59.455,29.34,a,2.08,a,7.28,36.18,a,7.28,a
2003,1139.441,59.799,30.46,a,1.86,a,7.01,36.9,a,7.01,a
2004,1202.37,60.145,31.84,a,1.87,a,6.8,37.85,a,6.8,a
2005,1254.292,60.493,33.8,a,1.94,a,6.88,39.21,a,6.88,a
2006,1328.597,60.843,34.85,a,1.98,a,6.76,39.4,a,6.76,a
2007,1405.796,61.194,35.57,a,2,a,6.68,39.08,a,6.68,a
2008,1433.87,61.548,36.61,a,2.14,a,6.89,40.61,a,6.89,a
2009,1393.854,61.904,44.26,a,2.25,a,7.79,45.47,a,7.79,a
2010,1432.9,62.262,53,a,2.14,a,8.12,46.97,a,8.12,a
2011,1499,62.649,60.39,a,3.03,a,8.13,46.31,a,8.13,a
2012,1546.7,63.067,71.38,a,3.15,a,8.38,44.89,a,8.38,a
2013,1575.7,63.488,75.2,e,3.04,a,8.83,42.77,a,8.83,a
2014,1641,63.912,76.66,e,2.91,e,8.73,43.51,e,8.73,a
2015,1720.4,64.338,78.76,e,3.05,g,8.7,42.51,g,8.7,e
